epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.897,2.59533,2.89732,2.40931,0.01786,0.31727,0.02773,0.01046,2.44148,3.25152,2.43838,0.00332894,0.00332894,0.00332894
2,212.65,2.40398,2.78186,2.18607,0.01664,0.29565,0.02496,0.00836,2.45584,3.20428,2.24995,0.00662929,0.00662929,0.00662929
3,309.346,2.46929,2.84067,2.21958,0.01171,0.20805,0.01476,0.00408,3.05637,4.39733,2.59093,0.00989665,0.00989665,0.00989665
4,407.346,2.48998,3.10318,2.2424,0.01778,0.31581,0.02736,0.00779,2.642,4.54664,2.43125,0.0098515,0.0098515,0.0098515
5,504.999,2.40876,2.8521,2.21496,0.0225,0.39776,0.04222,0.01333,2.38589,3.09991,2.31725,0.009802,0.009802,0.009802
6,603.237,2.35195,2.71044,2.19469,0.04492,0.23424,0.03808,0.01261,2.43355,3.14532,2.27327,0.0097525,0.0097525,0.0097525
7,699.874,2.2812,2.66796,2.1586,0.0219,0.38909,0.04226,0.01308,2.336,3.03948,2.27538,0.009703,0.009703,0.009703
8,796.891,2.28375,2.65344,2.17521,0.03156,0.42978,0.05187,0.01584,2.37323,3.11172,2.43926,0.0096535,0.0096535,0.0096535
9,895.175,2.2498,2.62964,2.16978,0.02798,0.38379,0.0516,0.01903,2.32091,2.99951,2.2898,0.009604,0.009604,0.009604
10,992.917,2.22767,2.60023,2.14929,0.03747,0.40743,0.0613,0.01911,2.28198,2.91127,2.29551,0.0095545,0.0095545,0.0095545
11,1092.67,2.21402,2.6139,2.12813,0.05579,0.28707,0.04856,0.01556,2.29361,2.96976,2.28673,0.009505,0.009505,0.009505
12,1191.92,2.20395,2.59488,2.12964,0.03074,0.41537,0.05839,0.01733,2.31122,2.88559,2.36229,0.0094555,0.0094555,0.0094555
13,1291.36,2.19086,2.60707,2.1231,0.05151,0.37759,0.06699,0.02026,2.26912,2.9143,2.31746,0.009406,0.009406,0.009406
14,1390.29,2.18279,2.58601,2.12495,0.08086,0.28652,0.06183,0.01802,2.26555,2.84816,2.26437,0.0093565,0.0093565,0.0093565
15,1488.18,2.17523,2.60634,2.12987,0.08316,0.27594,0.06692,0.02094,2.25116,2.89116,2.27281,0.009307,0.009307,0.009307
16,1587.45,2.18706,2.55874,2.12039,0.08178,0.29118,0.0716,0.0229,2.25824,2.86375,2.2128,0.0092575,0.0092575,0.0092575
17,1687.88,2.17085,2.54225,2.10864,0.06765,0.33753,0.07368,0.02156,2.27136,2.84317,2.29225,0.009208,0.009208,0.009208
18,1786.49,2.15948,2.54939,2.09769,0.07632,0.31326,0.07188,0.0212,2.26788,2.83796,2.31997,0.0091585,0.0091585,0.0091585
19,1885.46,2.15701,2.55002,2.10139,0.0707,0.33945,0.07598,0.02396,2.20499,2.85943,2.23816,0.009109,0.009109,0.009109
20,1984.38,2.15253,2.55434,2.11052,0.08988,0.30523,0.07884,0.02469,2.21618,2.8603,2.22572,0.0090595,0.0090595,0.0090595
21,2081.89,2.139,2.52544,2.10411,0.09315,0.29665,0.07555,0.02247,2.2419,2.82649,2.27303,0.00901,0.00901,0.00901
22,2179.94,2.12748,2.5207,2.10015,0.11068,0.23606,0.07561,0.02409,2.19883,2.8402,2.22116,0.0089605,0.0089605,0.0089605
23,2277.87,2.14684,2.51911,2.0853,0.11868,0.23515,0.07638,0.02347,2.22908,2.81707,2.26728,0.008911,0.008911,0.008911
24,2376.87,2.15642,2.5362,2.09341,0.11193,0.24738,0.08148,0.02577,2.2107,2.82057,2.24691,0.0088615,0.0088615,0.0088615
25,2473.77,2.13538,2.51353,2.07623,0.22707,0.08888,0.08445,0.02542,2.21737,2.80995,2.2452,0.008812,0.008812,0.008812
26,2570.8,2.12519,2.52348,2.08877,0.15036,0.18086,0.08365,0.02571,2.18633,2.79576,2.21788,0.0087625,0.0087625,0.0087625
27,2670.42,2.12699,2.48672,2.08412,0.14154,0.19792,0.08291,0.0258,2.1861,2.81046,2.2129,0.008713,0.008713,0.008713
28,2768.23,2.13609,2.50001,2.08217,0.10232,0.2701,0.07979,0.02526,2.18809,2.79086,2.2205,0.0086635,0.0086635,0.0086635
29,2867.54,2.11481,2.47702,2.07673,0.15573,0.16425,0.08114,0.02562,2.19452,2.77814,2.24353,0.008614,0.008614,0.008614
30,2965.23,2.12369,2.5045,2.07648,0.16526,0.16023,0.0854,0.02607,2.19395,2.78848,2.25293,0.0085645,0.0085645,0.0085645
31,3064.13,2.11638,2.52132,2.0793,0.19116,0.12821,0.08246,0.02474,2.20901,2.78226,2.27764,0.008515,0.008515,0.008515
32,3162.54,2.10725,2.46873,2.07334,0.19218,0.12355,0.08419,0.02562,2.21333,2.78461,2.2747,0.0084655,0.0084655,0.0084655
33,3262.15,2.11899,2.48742,2.07876,0.18992,0.123,0.08395,0.02591,2.20031,2.78598,2.26213,0.008416,0.008416,0.008416
34,3359.16,2.11398,2.48551,2.0656,0.19472,0.12109,0.08485,0.02633,2.19855,2.77228,2.26517,0.0083665,0.0083665,0.0083665
35,3457.82,2.12124,2.48013,2.06312,0.19437,0.12018,0.08367,0.02591,2.19498,2.77486,2.26071,0.008317,0.008317,0.008317
36,3556.04,2.10868,2.47063,2.0557,0.19108,0.12492,0.08269,0.02582,2.1922,2.76684,2.25378,0.0082675,0.0082675,0.0082675
37,3653.9,2.12219,2.46236,2.06898,0.18173,0.13687,0.08348,0.02578,2.1949,2.77037,2.25828,0.008218,0.008218,0.008218
