epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.61,2.49514,2.75169,2.40126,0.07702,0.18981,0.04566,0.01445,2.53478,3.06482,2.24909,0.00332897,0.00332897,0.00332897
2,205.912,2.25648,2.61753,2.22834,0.02439,0.45241,0.04851,0.01441,2.37518,2.93931,2.54197,0.00662933,0.00662933,0.00662933
3,300.448,2.33273,2.67527,2.24389,0.00299,0.05549,0.00159,0.00047,4.05359,13.1709,11.7125,0.00989668,0.00989668,0.00989668
4,398.075,2.33768,2.68521,2.27649,0.01794,0.33273,0.03081,0.01111,2.6525,3.75311,2.42644,0.0098515,0.0098515,0.0098515
5,494.682,2.29191,2.65393,2.24561,0.02614,0.3835,0.03328,0.01037,2.43158,3.01475,2.5175,0.009802,0.009802,0.009802
6,592.487,2.24453,2.59517,2.25367,0.02353,0.43634,0.04013,0.01199,2.38202,3.2454,2.49465,0.0097525,0.0097525,0.0097525
7,688.707,2.19481,2.56447,2.22895,0.02581,0.47868,0.06239,0.01796,2.29034,2.89414,2.41312,0.009703,0.009703,0.009703
8,785.566,2.1782,2.56207,2.21633,0.02668,0.42679,0.05194,0.01669,2.29423,3.15033,2.51454,0.0096535,0.0096535,0.0096535
9,881.102,2.14266,2.52359,2.21531,0.16472,0.1925,0.08147,0.02256,2.23068,3.01092,2.39062,0.009604,0.009604,0.009604
10,977.077,2.12257,2.508,2.20021,0.0325,0.49939,0.07689,0.02375,2.24872,2.88587,2.43947,0.0095545,0.0095545,0.0095545
11,1074.25,2.10177,2.49116,2.18539,0.10269,0.30409,0.08671,0.02665,2.20436,3.03661,2.3274,0.009505,0.009505,0.009505
12,1170.8,2.10326,2.46422,2.19801,0.08529,0.32678,0.08453,0.0261,2.22421,2.94204,2.4748,0.0094555,0.0094555,0.0094555
13,1266.47,2.09519,2.46757,2.18453,0.13548,0.21373,0.07957,0.02538,2.19345,2.89107,2.37895,0.009406,0.009406,0.009406
14,1362.91,2.07793,2.42326,2.17066,0.11601,0.3039,0.09673,0.02916,2.18258,2.89042,2.39951,0.0093565,0.0093565,0.0093565
15,1459.9,2.06254,2.44139,2.17477,0.13106,0.30636,0.10664,0.03322,2.17923,2.82989,2.37418,0.009307,0.009307,0.009307
16,1556.27,2.06911,2.43986,2.1618,0.12756,0.28538,0.09435,0.02931,2.19946,2.79274,2.40552,0.0092575,0.0092575,0.0092575
17,1652.16,2.06381,2.40266,2.15272,0.13958,0.24904,0.08773,0.03017,2.15745,2.77058,2.31447,0.009208,0.009208,0.009208
18,1748.62,2.04622,2.43793,2.16116,0.20455,0.1745,0.09683,0.02904,2.18459,2.78375,2.39488,0.0091585,0.0091585,0.0091585
19,1844.72,2.04486,2.40701,2.14287,0.18554,0.19539,0.10062,0.03137,2.19209,2.73769,2.37626,0.009109,0.009109,0.009109
20,1941.89,2.05094,2.40671,2.14973,0.18,0.2383,0.11147,0.03409,2.16389,2.76236,2.35222,0.0090595,0.0090595,0.0090595
