epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9503,2.83631,4.26543,2.33322,0.00147,0.08028,0.00093,0.00027,3.14756,8.6174,2.62059,0.000658537,0.000658537,0.000658537
2,32.0285,2.58031,3.63188,2.18631,0.002,0.16514,0.0014,0.00044,3.82421,5.4374,4.64483,0.00131864,0.00131864,0.00131864
3,46.0922,2.60114,3.59778,2.1678,0.00262,0.25229,0.00347,0.0009,2.93682,4.28493,2.50413,0.00197215,0.00197215,0.00197215
4,60.5318,2.54089,3.62938,2.16981,0.03315,0.05275,0.00744,0.00209,2.80709,4.05206,2.4165,0.0019703,0.0019703,0.0019703
5,75.3681,2.52861,3.60468,2.18387,0.06663,0.00917,0.00357,0.00092,2.97073,3.80933,2.50925,0.0019604,0.0019604,0.0019604
6,90.3615,2.49372,3.58966,2.14305,0.03094,0.01835,0.0053,0.00134,2.677,4.33372,2.21237,0.0019505,0.0019505,0.0019505
7,105.232,2.49198,3.58492,2.1312,0.06044,0.01376,0.00622,0.0016,2.57724,3.67312,2.21806,0.0019406,0.0019406,0.0019406
8,120.869,2.44541,3.50799,2.07779,0.04948,0.01376,0.00439,0.00143,3.08646,4.32758,2.78513,0.0019307,0.0019307,0.0019307
9,136.315,2.5073,3.60409,2.13612,0.00288,0.27523,0.0041,0.00122,2.88249,3.65,2.86194,0.0019208,0.0019208,0.0019208
10,151.749,2.44171,3.58503,2.09201,0.017,0.02982,0.00339,0.00093,2.66758,4.10011,2.25224,0.0019109,0.0019109,0.0019109
11,167.341,2.41769,3.6034,2.0911,0.04061,0.03899,0.00771,0.00221,2.55709,3.54665,2.17815,0.001901,0.001901,0.001901
12,183.302,2.40673,3.5855,2.0788,0.05904,0.03211,0.01181,0.00358,2.5371,3.63153,2.20088,0.0018911,0.0018911,0.0018911
13,199.7,2.41653,3.5256,2.05935,0.00367,0.35321,0.00568,0.00167,2.49009,3.63338,2.07495,0.0018812,0.0018812,0.0018812
14,216.077,2.43763,3.53862,2.0601,0.0035,0.33716,0.00527,0.00163,2.57029,3.61202,2.25772,0.0018713,0.0018713,0.0018713
15,232.7,2.42646,3.54314,2.04425,0.07231,0.02752,0.00939,0.00272,2.50325,3.49628,2.08006,0.0018614,0.0018614,0.0018614
16,249.386,2.43193,3.54801,2.04691,0.00447,0.11468,0.00535,0.00182,2.90003,3.86172,2.61084,0.0018515,0.0018515,0.0018515
17,265.936,2.4201,3.47112,2.02816,0.02011,0.05734,0.00671,0.00186,2.73088,4.36703,2.11365,0.0018416,0.0018416,0.0018416
18,282.505,2.39774,3.53722,2.04645,0.04304,0.02523,0.00552,0.00193,2.65658,3.66801,2.09506,0.0018317,0.0018317,0.0018317
19,299.039,2.34038,3.56,2.0066,0.05819,0.04587,0.01142,0.00444,2.7149,4.09056,2.13125,0.0018218,0.0018218,0.0018218
20,315.414,2.39038,3.52556,2.07883,0.02808,0.04358,0.01149,0.00428,2.61401,3.69519,2.16515,0.0018119,0.0018119,0.0018119
21,331.531,2.38829,3.49575,2.03999,0.03432,0.01376,0.00615,0.00173,2.69402,3.50163,2.34317,0.001802,0.001802,0.001802
