epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.074,2.77741,4.1807,2.36528,0.00215,0.16702,0.00126,0.00038,3.47169,28.0112,3.0013,0.00065873,0.00065873,0.00065873
2,33.1992,2.49456,3.57522,2.2919,0.00301,0.27273,0.00194,0.00063,2.97512,4.24835,2.90077,0.00131884,0.00131884,0.00131884
3,46.7913,2.51078,3.56395,2.21629,0.00373,0.33827,0.00573,0.00185,2.66289,3.74653,2.46303,0.00197234,0.00197234,0.00197234
4,60.6891,2.42955,3.57164,2.2064,0.01431,0.24524,0.01397,0.00375,2.48006,4.39821,2.389,0.0019703,0.0019703,0.0019703
5,74.6241,2.38973,3.53047,2.21525,0.00413,0.37421,0.00624,0.00199,2.58449,3.78998,2.64258,0.0019604,0.0019604,0.0019604
6,88.9927,2.37479,3.50214,2.22459,0.15904,0.0444,0.03455,0.01431,2.45634,4.10936,2.21326,0.0019505,0.0019505,0.0019505
7,103.2,2.39303,3.52739,2.21618,0.00524,0.44186,0.00536,0.00183,2.50509,3.68432,2.37709,0.0019406,0.0019406,0.0019406
8,117.864,2.31001,3.47223,2.1932,0.03582,0.06283,0.01284,0.0036,2.54999,3.59415,2.63819,0.0019307,0.0019307,0.0019307
9,132.836,2.36706,3.48493,2.20631,0.03223,0.17336,0.02812,0.00956,2.65772,3.72994,2.19254,0.0019208,0.0019208,0.0019208
10,148.13,2.32385,3.4547,2.11858,0.00485,0.43975,0.0111,0.00385,2.35396,4.23399,2.24614,0.0019109,0.0019109,0.0019109
11,163.015,2.32551,3.47098,2.13363,0.07806,0.08457,0.02688,0.00641,2.35424,3.46768,2.32159,0.001901,0.001901,0.001901
12,178.1,2.2829,3.41828,2.15403,0.10028,0.05708,0.02419,0.00653,2.23513,3.62596,2.14461,0.0018911,0.0018911,0.0018911
13,193.095,2.24771,3.38343,2.09391,0.14614,0.11205,0.04609,0.01424,2.75248,4.04113,2.28104,0.0018812,0.0018812,0.0018812
14,208.132,2.31266,3.39813,2.14978,0.18276,0.05285,0.03551,0.0089,2.23008,3.6891,2.21674,0.0018713,0.0018713,0.0018713
15,222.847,2.27078,3.4789,2.13741,0.00494,0.44397,0.00972,0.00264,2.55276,3.57627,2.62296,0.0018614,0.0018614,0.0018614
16,237.784,2.27852,3.42025,2.12618,0.1585,0.03171,0.02219,0.00571,2.50183,3.80247,2.148,0.0018515,0.0018515,0.0018515
17,252.902,2.24355,3.44454,2.09509,0.00392,0.35518,0.00422,0.00121,2.98477,3.72098,3.16726,0.0018416,0.0018416,0.0018416
18,268.019,2.24055,3.41152,2.12555,0.23846,0.0444,0.04214,0.01132,2.26563,3.50183,2.20693,0.0018317,0.0018317,0.0018317
19,283.19,2.26314,3.42066,2.1322,0.153,0.07822,0.03575,0.01032,2.2693,3.41289,2.14149,0.0018218,0.0018218,0.0018218
20,298.295,2.23424,3.38852,2.13119,0.08757,0.05285,0.02154,0.00558,2.3524,3.39595,2.40173,0.0018119,0.0018119,0.0018119
21,313.498,2.27683,3.43158,2.12207,0.0556,0.02114,0.01359,0.00377,2.35463,3.45409,2.37632,0.001802,0.001802,0.001802
22,328.391,2.22549,3.4229,2.11241,0.11449,0.05285,0.02682,0.00676,2.19745,3.49774,2.11608,0.0017921,0.0017921,0.0017921
23,343.536,2.25389,3.45182,2.09686,0.472,0.05481,0.05269,0.01864,2.51926,3.55528,2.16344,0.0017822,0.0017822,0.0017822
24,359.311,2.22157,3.38028,2.08765,0.30949,0.03805,0.03446,0.00866,2.58022,3.81537,2.18572,0.0017723,0.0017723,0.0017723
25,374.887,2.19635,3.37504,2.07292,0.17538,0.07644,0.04108,0.01061,2.21606,3.69509,2.1176,0.0017624,0.0017624,0.0017624
26,390.047,2.22521,3.34614,2.10871,0.08401,0.04017,0.022,0.0059,2.16599,3.39857,2.1855,0.0017525,0.0017525,0.0017525
27,405.204,2.21543,3.39952,2.08626,0.18048,0.06554,0.04598,0.01288,2.1701,3.32039,2.13827,0.0017426,0.0017426,0.0017426
28,420.491,2.22252,3.38737,2.07248,0.14728,0.07188,0.03312,0.0079,2.22523,3.36316,2.16732,0.0017327,0.0017327,0.0017327
29,436.369,2.13624,3.38976,2.0574,0.16051,0.06342,0.03268,0.00924,2.49614,4.44219,2.14769,0.0017228,0.0017228,0.0017228
30,451.477,2.20578,3.41064,2.09462,0.14776,0.08034,0.03571,0.00867,2.20991,3.36404,2.22402,0.0017129,0.0017129,0.0017129
31,467.06,2.15333,3.37314,2.08095,0.06345,0.13742,0.04773,0.01057,2.25643,3.39743,2.08803,0.001703,0.001703,0.001703
32,482.44,2.16836,3.38633,2.07389,0.18196,0.10299,0.06055,0.01325,2.22081,3.32796,2.15482,0.0016931,0.0016931,0.0016931
33,497.832,2.19598,3.3833,2.09608,0.16797,0.03383,0.03266,0.00779,2.3497,3.54473,2.18333,0.0016832,0.0016832,0.0016832
34,513.292,2.17312,3.34062,2.09746,0.27991,0.05708,0.05297,0.01276,2.33504,3.36519,2.18156,0.0016733,0.0016733,0.0016733
35,528.886,2.179,3.36844,2.11067,0.26168,0.05074,0.05044,0.01438,2.19938,3.34213,2.15979,0.0016634,0.0016634,0.0016634
36,544.498,2.16565,3.3829,2.04927,0.08832,0.0296,0.01727,0.00424,2.33536,3.64565,2.40025,0.0016535,0.0016535,0.0016535
37,560.111,2.17245,3.33811,2.0645,0.27508,0.05497,0.05667,0.01375,2.26612,3.4086,2.11622,0.0016436,0.0016436,0.0016436
38,575.622,2.13239,3.36984,2.06967,0.27169,0.04651,0.04677,0.01397,2.32562,3.35635,2.11591,0.0016337,0.0016337,0.0016337
39,591.477,2.15746,3.33977,2.06205,0.24433,0.03805,0.03695,0.00889,2.61054,3.7733,2.33984,0.0016238,0.0016238,0.0016238
40,606.963,2.19474,3.32962,2.06412,0.17852,0.06131,0.03991,0.00955,2.29225,3.33545,2.33603,0.0016139,0.0016139,0.0016139
41,622.93,2.15971,3.36593,2.07641,0.09355,0.04651,0.02209,0.00646,2.22954,3.46654,2.13677,0.001604,0.001604,0.001604
42,638.559,2.17986,3.31608,2.0731,0.18598,0.06977,0.04896,0.01293,2.15616,3.36525,2.15427,0.0015941,0.0015941,0.0015941
43,654.258,2.16082,3.32857,2.0652,0.09576,0.0444,0.03053,0.00796,2.20256,3.50397,2.1894,0.0015842,0.0015842,0.0015842
44,670.041,2.18856,3.40143,2.07754,0.10621,0.07611,0.02729,0.00843,2.14695,3.44338,2.17715,0.0015743,0.0015743,0.0015743
45,685.584,2.14866,3.36809,2.01809,0.20306,0.07188,0.04916,0.01182,2.16346,3.32616,2.16809,0.0015644,0.0015644,0.0015644
46,701.294,2.14523,3.30714,2.03077,0.27386,0.05074,0.05522,0.01387,2.23894,3.34486,2.10806,0.0015545,0.0015545,0.0015545
47,717.183,2.16973,3.33468,2.05581,0.32316,0.04543,0.05119,0.01355,2.22553,3.36642,2.12366,0.0015446,0.0015446,0.0015446
48,733.011,2.15494,3.37978,2.06278,0.23644,0.09302,0.06678,0.01794,2.14188,3.29791,2.15105,0.0015347,0.0015347,0.0015347
49,748.602,2.1259,3.36629,2.04495,0.34043,0.05074,0.05287,0.01347,2.17832,3.28997,2.13725,0.0015248,0.0015248,0.0015248
50,764.05,2.14989,3.32083,2.06267,0.1264,0.09091,0.03839,0.01035,2.27154,3.44902,2.17881,0.0015149,0.0015149,0.0015149
51,779.772,2.17074,3.35331,2.0629,0.17257,0.0592,0.03752,0.01088,2.24534,3.27423,2.21211,0.001505,0.001505,0.001505
52,795.514,2.18079,3.3332,2.06662,0.10603,0.03436,0.02271,0.00681,2.22594,3.35844,2.15926,0.0014951,0.0014951,0.0014951
53,810.941,2.15268,3.3824,2.05836,0.1214,0.03171,0.02337,0.00525,2.4475,3.4199,2.57372,0.0014852,0.0014852,0.0014852
54,826.663,2.14457,3.3195,2.02706,0.14756,0.06342,0.04061,0.00937,2.1296,3.33162,2.14001,0.0014753,0.0014753,0.0014753
55,842.447,2.13311,3.27708,2.01206,0.29071,0.06554,0.05967,0.01506,2.32765,3.72768,2.1354,0.0014654,0.0014654,0.0014654
56,858.429,2.12923,3.33073,2.01537,0.16863,0.04863,0.0367,0.00849,2.27545,3.43403,2.32704,0.0014555,0.0014555,0.0014555
57,873.874,2.14101,3.34714,2.04555,0.14991,0.06554,0.03814,0.0087,2.30087,3.35817,2.35926,0.0014456,0.0014456,0.0014456
58,890.044,2.15266,3.33413,2.03573,0.11363,0.05285,0.02929,0.00872,2.18414,3.30115,2.23513,0.0014357,0.0014357,0.0014357
59,905.763,2.09189,3.33187,2.03517,0.26765,0.05074,0.05673,0.01682,2.14942,3.30791,2.12368,0.0014258,0.0014258,0.0014258
60,921.563,2.14315,3.3036,2.06925,0.12631,0.03594,0.02582,0.00821,2.18743,3.35057,2.17242,0.0014159,0.0014159,0.0014159
61,937.373,2.12937,3.3313,2.08528,0.28734,0.07188,0.05938,0.0141,2.22387,3.33796,2.30715,0.001406,0.001406,0.001406
62,953.229,2.10232,3.46661,2.02905,0.14357,0.03805,0.02802,0.00852,2.19796,3.30281,2.25869,0.0013961,0.0013961,0.0013961
63,969,2.09985,3.36832,2.06018,0.23712,0.06765,0.05639,0.01823,2.24603,3.78873,2.11775,0.0013862,0.0013862,0.0013862
64,984.852,2.11246,3.2798,2.05399,0.30937,0.05497,0.05822,0.01825,2.3661,3.33369,2.12946,0.0013763,0.0013763,0.0013763
65,1000.58,2.12388,3.29811,2.0256,0.17616,0.05285,0.04407,0.01104,2.16008,3.29643,2.21858,0.0013664,0.0013664,0.0013664
66,1016.16,2.15371,3.28189,2.06824,0.34858,0.04017,0.0547,0.01219,2.21375,3.31867,2.30977,0.0013565,0.0013565,0.0013565
67,1031.92,2.13307,3.30723,2.03537,0.2186,0.07188,0.06347,0.01738,2.21298,3.26652,2.14174,0.0013466,0.0013466,0.0013466
68,1047.61,2.10052,3.31344,2.03888,0.27387,0.06858,0.06517,0.01824,2.19559,3.2586,2.1922,0.0013367,0.0013367,0.0013367
69,1063.23,2.0978,3.26911,2.01849,0.38733,0.05285,0.05798,0.01767,2.3359,3.39091,2.09831,0.0013268,0.0013268,0.0013268
70,1078.8,2.09725,3.29658,2.00956,0.20505,0.04908,0.04732,0.01324,2.18139,3.28178,2.1956,0.0013169,0.0013169,0.0013169
71,1094.45,2.11835,3.29359,2.02051,0.2302,0.10148,0.06751,0.01749,2.1727,3.33628,2.17444,0.001307,0.001307,0.001307
72,1110.16,2.1001,3.29092,2.02761,0.12786,0.06977,0.03026,0.00788,2.3348,3.41571,2.15161,0.0012971,0.0012971,0.0012971
73,1125.95,2.11116,3.27917,2.02471,0.22817,0.06765,0.05947,0.01491,2.20708,3.25618,2.26387,0.0012872,0.0012872,0.0012872
74,1141.92,2.09459,3.28336,2.02294,0.18301,0.074,0.05019,0.0125,2.15963,3.35094,2.19014,0.0012773,0.0012773,0.0012773
75,1158.05,2.09238,3.35768,2.01391,0.42858,0.04282,0.0619,0.01997,2.18978,3.32451,2.11266,0.0012674,0.0012674,0.0012674
76,1173.9,2.10631,3.28275,2.0364,0.30522,0.06554,0.0584,0.01526,2.22675,3.33291,2.15137,0.0012575,0.0012575,0.0012575
77,1189.99,2.11647,3.30215,2.01231,0.37565,0.05497,0.06483,0.01906,2.23275,3.30266,2.13619,0.0012476,0.0012476,0.0012476
78,1205.37,2.07753,3.27641,1.99403,0.19835,0.06342,0.0492,0.01371,2.289,3.25977,2.3482,0.0012377,0.0012377,0.0012377
79,1221.17,2.14982,3.23275,2.04856,0.3608,0.0592,0.07064,0.02052,2.22111,3.22419,2.1663,0.0012278,0.0012278,0.0012278
80,1236.97,2.08917,3.18444,1.9922,0.25538,0.07822,0.06204,0.01717,2.29991,3.34759,2.23056,0.0012179,0.0012179,0.0012179
81,1252.92,2.09369,3.27418,2.02769,0.27162,0.04017,0.05028,0.01338,2.26256,3.31869,2.23782,0.001208,0.001208,0.001208
82,1268.76,2.05941,3.25182,2.03046,0.23904,0.06765,0.06765,0.02212,2.19177,3.25688,2.20547,0.0011981,0.0011981,0.0011981
83,1284.66,2.08257,3.25915,2.04648,0.25669,0.0592,0.04915,0.0135,2.15725,3.31699,2.24194,0.0011882,0.0011882,0.0011882
84,1300.17,2.10391,3.27653,2.04415,0.26388,0.09725,0.07158,0.02027,2.15554,3.24011,2.15986,0.0011783,0.0011783,0.0011783
85,1316.09,2.08427,3.31155,2.01877,0.28674,0.07822,0.06695,0.0189,2.17349,3.27395,2.09858,0.0011684,0.0011684,0.0011684
86,1332.32,2.0943,3.27329,2.04021,0.18229,0.05043,0.04094,0.01029,2.33674,3.29985,2.42732,0.0011585,0.0011585,0.0011585
87,1348.06,2.06638,3.29097,2.03197,0.26802,0.09937,0.07243,0.01898,2.15349,3.26655,2.12182,0.0011486,0.0011486,0.0011486
88,1363.7,2.04064,3.23918,1.99696,0.30489,0.05074,0.05903,0.01415,2.25381,3.33067,2.12308,0.0011387,0.0011387,0.0011387
89,1379.74,2.08584,3.20792,1.99475,0.24619,0.08034,0.06018,0.0157,2.24397,3.3147,2.27331,0.0011288,0.0011288,0.0011288
90,1395.46,2.06468,3.258,2.01622,0.27677,0.05708,0.05793,0.01493,2.19333,3.29814,2.21536,0.0011189,0.0011189,0.0011189
91,1411.02,2.06893,3.27859,1.99635,0.23177,0.08547,0.06272,0.01765,2.22147,3.30381,2.16621,0.001109,0.001109,0.001109
92,1427.16,2.10901,3.25566,2.02222,0.27254,0.05285,0.06133,0.01536,2.21221,3.24637,2.25964,0.0010991,0.0010991,0.0010991
93,1442.59,2.05298,3.25568,2.00302,0.20589,0.07188,0.04614,0.01121,2.15017,3.28027,2.23702,0.0010892,0.0010892,0.0010892
94,1458.11,2.07687,3.19458,2.01259,0.24022,0.08489,0.06418,0.01839,2.15161,3.23292,2.07495,0.0010793,0.0010793,0.0010793
95,1474.22,2.07725,3.30468,1.99753,0.25315,0.05497,0.05311,0.01835,2.19246,3.3027,2.08005,0.0010694,0.0010694,0.0010694
96,1489.89,2.028,3.23357,2.00942,0.24926,0.07822,0.0673,0.02094,2.11475,3.20666,2.09015,0.0010595,0.0010595,0.0010595
97,1505.76,2.04402,3.25035,1.97993,0.24477,0.0592,0.04908,0.01334,2.162,3.2933,2.17542,0.0010496,0.0010496,0.0010496
98,1521.63,2.03399,3.1929,2.00383,0.23479,0.11839,0.07538,0.02078,2.27133,3.30569,2.35293,0.0010397,0.0010397,0.0010397
99,1537.42,2.03722,3.27385,2.03292,0.2148,0.07822,0.05888,0.01615,2.23189,3.25798,2.27686,0.0010298,0.0010298,0.0010298
100,1553.3,2.02977,3.21069,2.00819,0.22248,0.0592,0.04736,0.01238,2.17317,3.27624,2.20208,0.0010199,0.0010199,0.0010199
101,1569.44,2.07662,3.25106,2.01233,0.32726,0.08742,0.0676,0.02078,2.19553,3.21472,2.23973,0.00101,0.00101,0.00101
102,1585.29,2.06573,3.26512,2.00564,0.29959,0.074,0.05909,0.01495,2.19931,3.26155,2.16635,0.0010001,0.0010001,0.0010001
103,1601.14,2.06869,3.25963,1.99587,0.29039,0.06662,0.05681,0.01697,2.14619,3.315,2.10769,0.0009902,0.0009902,0.0009902
104,1617.46,2.04114,3.23671,1.98392,0.28664,0.08668,0.07237,0.02164,2.2257,3.23462,2.15233,0.0009803,0.0009803,0.0009803
105,1633.6,2.03214,3.25026,2.00178,0.3237,0.06173,0.06107,0.01689,2.22225,3.26694,2.33619,0.0009704,0.0009704,0.0009704
106,1649.13,2.04243,3.34418,1.96392,0.25825,0.09937,0.06979,0.02077,2.21426,3.21957,2.21929,0.0009605,0.0009605,0.0009605
107,1665.11,2.06016,3.24457,1.9879,0.23599,0.08879,0.07023,0.01919,2.17792,3.21768,2.16859,0.0009506,0.0009506,0.0009506
108,1680.95,2.04165,3.21228,2.00086,0.29136,0.09091,0.06916,0.01999,2.23458,3.23226,2.08585,0.0009407,0.0009407,0.0009407
109,1696.96,2.03642,3.21763,1.99606,0.29476,0.07188,0.06316,0.01933,2.29263,3.26101,2.07108,0.0009308,0.0009308,0.0009308
110,1712.81,2.04146,3.26075,2.01659,0.30433,0.08457,0.07323,0.02225,2.17907,3.21591,2.21346,0.0009209,0.0009209,0.0009209
111,1729.07,2.03384,3.27276,2.0247,0.32549,0.05497,0.05339,0.0158,2.21156,3.27188,2.12341,0.000911,0.000911,0.000911
112,1745.01,2.05524,3.22627,1.99806,0.31132,0.09091,0.06789,0.02105,2.17951,3.24354,2.15079,0.0009011,0.0009011,0.0009011
113,1761.21,2.04878,3.21447,1.98354,0.36483,0.08865,0.07089,0.01844,2.19575,3.24635,2.2415,0.0008912,0.0008912,0.0008912
114,1777.26,2.04804,3.27133,1.97659,0.31084,0.07915,0.06191,0.01897,2.17171,3.24527,2.19178,0.0008813,0.0008813,0.0008813
115,1793.57,2.04768,3.19391,1.99404,0.30967,0.09091,0.07239,0.02331,2.19469,3.26617,2.07881,0.0008714,0.0008714,0.0008714
116,1809.52,2.03926,3.22944,1.9967,0.32083,0.05285,0.06331,0.01769,2.12875,3.24643,2.17476,0.0008615,0.0008615,0.0008615
117,1825.32,2.02437,3.26059,1.99431,0.30328,0.08879,0.06612,0.01948,2.19039,3.20217,2.10827,0.0008516,0.0008516,0.0008516
118,1841.25,2.03075,3.23837,1.99427,0.27618,0.08034,0.07126,0.0203,2.13657,3.27909,2.12321,0.0008417,0.0008417,0.0008417
119,1856.99,2.0417,3.26281,1.99267,0.34413,0.06554,0.07416,0.0218,2.09486,3.25757,2.1157,0.0008318,0.0008318,0.0008318
120,1873.08,1.97542,3.19262,1.96447,0.30227,0.09937,0.08171,0.02621,2.13618,3.18074,2.11053,0.0008219,0.0008219,0.0008219
121,1888.77,2.05432,3.2535,2.01853,0.39221,0.074,0.07395,0.02026,2.1614,3.25357,2.19454,0.000812,0.000812,0.000812
122,1904.73,2.02925,3.2343,1.96532,0.30811,0.07611,0.06434,0.01785,2.15218,3.28596,2.12105,0.0008021,0.0008021,0.0008021
123,1920.78,2.02113,3.21602,1.95162,0.37467,0.08668,0.08005,0.02383,2.15136,3.2308,2.14205,0.0007922,0.0007922,0.0007922
124,1936.76,2.04047,3.20665,1.98583,0.31737,0.05285,0.06738,0.02378,2.24189,3.26263,2.18052,0.0007823,0.0007823,0.0007823
125,1952.94,2.03741,3.21486,1.98215,0.33167,0.08668,0.07607,0.02294,2.18237,3.27796,2.20888,0.0007724,0.0007724,0.0007724
126,1968.88,2.03445,3.23189,1.98364,0.31955,0.06765,0.07476,0.01915,2.17447,3.23247,2.19082,0.0007625,0.0007625,0.0007625
127,1984.93,2.01771,3.17377,1.95804,0.29728,0.08497,0.06971,0.02084,2.12777,3.20965,2.14986,0.0007526,0.0007526,0.0007526
128,2001.04,2.02902,3.18641,1.97707,0.25522,0.09725,0.07596,0.02624,2.21594,3.16353,2.12912,0.0007427,0.0007427,0.0007427
129,2017.2,2.04919,3.17108,1.98131,0.34408,0.07611,0.07312,0.02047,2.18419,3.22426,2.14164,0.0007328,0.0007328,0.0007328
130,2033.12,2.03259,3.22633,1.9722,0.36704,0.04651,0.06477,0.0226,2.16368,3.2358,2.12715,0.0007229,0.0007229,0.0007229
