epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.27,1.64481,1.30928,1.61963,0.8839,0.85635,0.90101,0.41498,1.79615,0.92436,1.45553,0.00332936,0.00332936,0.00332936
2,222.136,1.30489,0.89903,1.29343,0.89908,0.84151,0.89715,0.57307,1.27908,0.7617,1.20436,0.00662971,0.00662971,0.00662971
3,316.909,1.33605,0.94191,1.31781,0.68273,0.57473,0.63453,0.30401,1.84282,1.64432,1.7161,0.00989707,0.00989707,0.00989707
4,413.643,1.38281,0.97301,1.3744,0.80487,0.76098,0.82245,0.46558,1.52652,1.02259,1.4114,0.0098515,0.0098515,0.0098515
5,511.21,1.27972,0.87046,1.3245,0.88756,0.84176,0.8928,0.50954,1.52966,0.83922,1.42029,0.009802,0.009802,0.009802
6,607.993,1.19451,0.81412,1.28387,0.88636,0.82437,0.88934,0.5457,1.36321,0.79575,1.32135,0.0097525,0.0097525,0.0097525
7,705.271,1.15181,0.75882,1.25204,0.90255,0.86983,0.91992,0.58351,1.24978,0.69522,1.26809,0.009703,0.009703,0.009703
8,802.627,1.13647,0.75993,1.2453,0.90446,0.84688,0.90845,0.5547,1.32122,0.7573,1.28982,0.0096535,0.0096535,0.0096535
9,900.634,1.10406,0.7297,1.22954,0.89495,0.8742,0.91738,0.56418,1.35126,0.71859,1.30579,0.009604,0.009604,0.009604
10,998.77,1.0886,0.71849,1.22904,0.90808,0.86796,0.91744,0.45994,1.75158,0.76741,1.54237,0.0095545,0.0095545,0.0095545
11,1099.1,1.07111,0.71593,1.21958,0.89691,0.85865,0.90225,0.31417,2.18584,0.85905,1.90802,0.009505,0.009505,0.009505
12,1201.11,1.06021,0.68389,1.21421,0.90972,0.88276,0.92684,0.48612,1.63103,0.70575,1.45956,0.0094555,0.0094555,0.0094555
13,1303.44,1.04833,0.67572,1.20404,0.90969,0.87648,0.92068,0.45355,1.87374,0.75148,1.67456,0.009406,0.009406,0.009406
14,1404.9,1.03418,0.66795,1.19888,0.90425,0.88851,0.92411,0.49465,1.59529,0.69056,1.4424,0.0093565,0.0093565,0.0093565
15,1507.93,1.02411,0.66233,1.18936,0.9114,0.88117,0.92173,0.47919,1.77517,0.73102,1.57317,0.009307,0.009307,0.009307
16,1609.56,1.02218,0.66457,1.19166,0.91648,0.87992,0.93062,0.50909,1.58392,0.68176,1.45564,0.0092575,0.0092575,0.0092575
17,1711.77,1.02263,0.65833,1.19318,0.91837,0.87879,0.92576,0.47354,1.74342,0.70613,1.54851,0.009208,0.009208,0.009208
18,1814.39,1.01502,0.65417,1.18963,0.91742,0.88911,0.93083,0.54699,1.52476,0.6668,1.40189,0.0091585,0.0091585,0.0091585
19,1922.37,1.01348,0.64892,1.18999,0.91304,0.88544,0.92513,0.40124,2.04441,0.76775,1.83056,0.009109,0.009109,0.009109
20,2028.09,1.00953,0.65251,1.19226,0.91649,0.87812,0.92142,0.43289,1.95499,0.7449,1.74113,0.0090595,0.0090595,0.0090595
21,2134.02,1.0051,0.64646,1.1845,0.91832,0.88611,0.93104,0.48529,1.7351,0.69357,1.56947,0.00901,0.00901,0.00901
22,2239.92,0.99821,0.64014,1.1812,0.91792,0.88877,0.934,0.53086,1.52511,0.64008,1.41411,0.0089605,0.0089605,0.0089605
23,2346.1,0.99565,0.64382,1.18623,0.91369,0.89013,0.93674,0.57659,1.40266,0.62607,1.35102,0.008911,0.008911,0.008911
24,2451.67,0.98823,0.63074,1.18086,0.91101,0.89244,0.93462,0.5218,1.65571,0.66418,1.49695,0.0088615,0.0088615,0.0088615
25,2558.37,0.99477,0.63896,1.18655,0.9113,0.89391,0.93406,0.49151,1.74665,0.67804,1.59224,0.008812,0.008812,0.008812
26,2663.97,0.9965,0.63868,1.18741,0.91151,0.89274,0.93293,0.50478,1.67406,0.66978,1.54681,0.0087625,0.0087625,0.0087625
27,2769.76,0.98803,0.64622,1.19011,0.91056,0.89098,0.93039,0.50279,1.68784,0.67479,1.56497,0.008713,0.008713,0.008713
28,2874.81,0.98642,0.6251,1.18029,0.90543,0.89388,0.93068,0.52852,1.62452,0.66848,1.50142,0.0086635,0.0086635,0.0086635
29,2980.37,0.98,0.6256,1.17832,0.90498,0.89533,0.93277,0.55335,1.54647,0.6527,1.44451,0.008614,0.008614,0.008614
30,3087.1,0.97989,0.6252,1.1781,0.91024,0.89448,0.93441,0.54647,1.58743,0.6528,1.46824,0.0085645,0.0085645,0.0085645
31,3194.24,0.97906,0.62386,1.17049,0.91229,0.89363,0.93385,0.5274,1.65465,0.66205,1.51121,0.008515,0.008515,0.008515
32,3300.28,0.97529,0.6156,1.17304,0.91099,0.89593,0.93346,0.526,1.65653,0.66466,1.50991,0.0084655,0.0084655,0.0084655
