epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8766,1.80521,2.67359,1.63657,0.30642,0.42203,0.29031,0.12055,1.76615,2.57788,1.7682,0.000662309,0.000662309,0.000662309
2,60.2732,1.5532,2.10481,1.4731,0.23548,0.40266,0.21672,0.10976,1.66039,2.32277,1.66783,0.0013224,0.0013224,0.0013224
3,85.0522,1.54369,2.04222,1.49546,0.39069,0.37727,0.31649,0.11762,1.9507,2.4062,1.80302,0.00197589,0.00197589,0.00197589
4,110.854,1.54034,1.94388,1.45117,0.35953,0.37727,0.3356,0.14601,1.80676,2.00837,1.60488,0.0019703,0.0019703,0.0019703
5,147.567,1.52418,1.96037,1.45266,0.34598,0.48005,0.33008,0.15012,1.66225,2.03514,1.50662,0.0019604,0.0019604,0.0019604
6,173.904,1.47849,1.87675,1.42942,0.36941,0.42322,0.33082,0.12665,1.91129,2.02714,1.72842,0.0019505,0.0019505,0.0019505
7,200.647,1.46076,1.84744,1.42441,0.3903,0.41475,0.36118,0.18124,1.79626,1.881,1.5485,0.0019406,0.0019406,0.0019406
8,227.445,1.42543,1.81771,1.39738,0.32613,0.40629,0.30428,0.12795,1.88197,1.91476,1.7092,0.0019307,0.0019307,0.0019307
9,255.052,1.43189,1.84925,1.41375,0.40334,0.42201,0.34935,0.15741,1.8313,1.81392,1.60783,0.0019208,0.0019208,0.0019208
10,282.484,1.41829,1.75122,1.40858,0.38864,0.4474,0.34953,0.16958,1.79886,1.74284,1.63419,0.0019109,0.0019109,0.0019109
11,309.76,1.39155,1.76247,1.38577,0.3799,0.46433,0.37882,0.22992,1.52744,2.0985,1.4152,0.001901,0.001901,0.001901
12,337.441,1.38236,1.75706,1.38421,0.39691,0.41959,0.37954,0.16178,1.86942,1.84047,1.66635,0.0018911,0.0018911,0.0018911
13,365.774,1.4207,1.7498,1.41051,0.37611,0.44619,0.35257,0.1382,2.0109,1.81296,1.77903,0.0018812,0.0018812,0.0018812
14,393.855,1.42402,1.73691,1.41316,0.39982,0.42684,0.38069,0.18111,1.72341,1.74022,1.55084,0.0018713,0.0018713,0.0018713
15,423.33,1.41416,1.748,1.38442,0.4158,0.43531,0.38033,0.18236,1.79348,1.70971,1.60807,0.0018614,0.0018614,0.0018614
16,451.689,1.39003,1.72679,1.38678,0.42685,0.43531,0.39429,0.16634,1.98044,1.71888,1.67956,0.0018515,0.0018515,0.0018515
17,480.782,1.38215,1.71659,1.37568,0.40611,0.45707,0.40308,0.16665,1.90207,1.72646,1.67723,0.0018416,0.0018416,0.0018416
18,509.641,1.39356,1.70341,1.39946,0.40506,0.43289,0.38162,0.18047,1.72188,1.85419,1.54623,0.0018317,0.0018317,0.0018317
19,538.464,1.3673,1.69286,1.37606,0.43173,0.41523,0.40939,0.1952,1.71726,1.66713,1.56244,0.0018218,0.0018218,0.0018218
20,567.326,1.35076,1.66684,1.36433,0.424,0.43652,0.39534,0.22164,1.62279,1.63948,1.47226,0.0018119,0.0018119,0.0018119
21,595.893,1.35442,1.67713,1.36463,0.43037,0.43289,0.39645,0.19843,1.68241,1.76082,1.52718,0.001802,0.001802,0.001802
22,624.722,1.35125,1.64846,1.38539,0.38575,0.44498,0.35376,0.17998,1.66425,1.73,1.54762,0.0017921,0.0017921,0.0017921
23,653.662,1.35554,1.68461,1.38208,0.39615,0.4607,0.36857,0.20329,1.5336,1.60715,1.45531,0.0017822,0.0017822,0.0017822
24,682.927,1.33169,1.66913,1.3513,0.38238,0.47314,0.39066,0.23328,1.51146,1.66947,1.38918,0.0017723,0.0017723,0.0017723
25,712.177,1.34732,1.63816,1.35683,0.41203,0.4208,0.39143,0.2211,1.57743,1.62212,1.45626,0.0017624,0.0017624,0.0017624
26,741.425,1.33337,1.64648,1.34625,0.40681,0.43652,0.39929,0.20621,1.73707,1.63677,1.52767,0.0017525,0.0017525,0.0017525
27,770.372,1.30408,1.60964,1.33291,0.4433,0.42078,0.39613,0.23701,1.53197,1.74714,1.3924,0.0017426,0.0017426,0.0017426
28,799.875,1.32423,1.62225,1.36135,0.44823,0.45345,0.41917,0.24886,1.50062,1.56029,1.40947,0.0017327,0.0017327,0.0017327
29,829.093,1.326,1.61831,1.35545,0.43269,0.44913,0.39601,0.23195,1.52767,1.60897,1.4161,0.0017228,0.0017228,0.0017228
30,858.355,1.31138,1.62875,1.34363,0.41811,0.44982,0.41223,0.26285,1.40081,1.52694,1.35662,0.0017129,0.0017129,0.0017129
31,887.359,1.31957,1.61847,1.32934,0.45655,0.44619,0.42987,0.23168,1.66278,1.59835,1.47674,0.001703,0.001703,0.001703
32,916.925,1.3119,1.60768,1.33932,0.43533,0.43161,0.42572,0.2444,1.53945,1.57784,1.41528,0.0016931,0.0016931,0.0016931
33,946.057,1.30653,1.58308,1.32743,0.41937,0.474,0.41044,0.24227,1.57931,1.59211,1.43849,0.0016832,0.0016832,0.0016832
34,975.027,1.30389,1.61049,1.34185,0.43838,0.44498,0.42191,0.24323,1.54916,1.55657,1.42206,0.0016733,0.0016733,0.0016733
35,1004.39,1.30387,1.57657,1.33859,0.37777,0.44982,0.40861,0.23756,1.54221,1.55639,1.43409,0.0016634,0.0016634,0.0016634
36,1033.63,1.30451,1.59866,1.33112,0.42264,0.43652,0.4095,0.24175,1.49561,1.54363,1.40448,0.0016535,0.0016535,0.0016535
37,1062.69,1.28392,1.57455,1.32099,0.43958,0.43249,0.41437,0.24811,1.4706,1.58903,1.39139,0.0016436,0.0016436,0.0016436
38,1091.47,1.29325,1.59654,1.32981,0.42025,0.44256,0.40862,0.24577,1.53686,1.6206,1.42155,0.0016337,0.0016337,0.0016337
39,1120.2,1.27842,1.54661,1.32551,0.45214,0.44256,0.42891,0.25199,1.51867,1.55385,1.42272,0.0016238,0.0016238,0.0016238
40,1149.38,1.28547,1.58211,1.32255,0.39554,0.4607,0.39767,0.23642,1.53471,1.55415,1.44012,0.0016139,0.0016139,0.0016139
41,1178.28,1.28679,1.54235,1.3278,0.42164,0.48044,0.42284,0.25852,1.425,1.53321,1.36929,0.001604,0.001604,0.001604
42,1207.46,1.27852,1.54518,1.31359,0.44468,0.43652,0.42473,0.24203,1.57195,1.54609,1.4354,0.0015941,0.0015941,0.0015941
43,1236.44,1.27044,1.56599,1.32039,0.43947,0.46191,0.42759,0.21886,1.71319,1.56325,1.54657,0.0015842,0.0015842,0.0015842
44,1265.11,1.27772,1.55059,1.32795,0.44499,0.45276,0.42679,0.25075,1.49803,1.52009,1.42806,0.0015743,0.0015743,0.0015743
45,1294.34,1.29152,1.54401,1.33242,0.4607,0.43894,0.42167,0.26336,1.4391,1.51912,1.38463,0.0015644,0.0015644,0.0015644
46,1323.59,1.27489,1.55524,1.31923,0.41946,0.44982,0.41805,0.20931,1.75528,1.63004,1.56347,0.0015545,0.0015545,0.0015545
47,1352.57,1.27289,1.57411,1.31888,0.4251,0.47835,0.43742,0.26986,1.40963,1.51085,1.37097,0.0015446,0.0015446,0.0015446
48,1381.77,1.27174,1.54172,1.30992,0.45686,0.44135,0.44094,0.2565,1.5467,1.53835,1.40502,0.0015347,0.0015347,0.0015347
49,1411.17,1.28157,1.55771,1.32636,0.40857,0.49201,0.40884,0.24763,1.46058,1.53526,1.38688,0.0015248,0.0015248,0.0015248
50,1440.49,1.27857,1.57028,1.32652,0.45212,0.45702,0.4462,0.27836,1.4233,1.48222,1.3712,0.0015149,0.0015149,0.0015149
51,1469.7,1.27583,1.53377,1.32257,0.42693,0.47642,0.44366,0.27354,1.43945,1.48716,1.37474,0.001505,0.001505,0.001505
52,1498.76,1.26409,1.51979,1.31842,0.39954,0.47521,0.41458,0.25281,1.45042,1.50652,1.39601,0.0014951,0.0014951,0.0014951
53,1527.66,1.26048,1.5108,1.30456,0.42488,0.45649,0.42055,0.25356,1.49416,1.62689,1.39311,0.0014852,0.0014852,0.0014852
54,1557.15,1.25143,1.49707,1.29986,0.40782,0.5127,0.43758,0.24536,1.54859,1.53434,1.42079,0.0014753,0.0014753,0.0014753
55,1586.39,1.25929,1.55307,1.30837,0.42495,0.49682,0.43176,0.25529,1.47925,1.54778,1.39736,0.0014654,0.0014654,0.0014654
56,1615.94,1.28077,1.56575,1.31874,0.44271,0.44982,0.42326,0.26289,1.43245,1.55071,1.3683,0.0014555,0.0014555,0.0014555
57,1645.14,1.26112,1.50451,1.31,0.4739,0.44658,0.44437,0.26956,1.44234,1.51017,1.3752,0.0014456,0.0014456,0.0014456
58,1674.35,1.27135,1.52518,1.31677,0.46592,0.44015,0.43382,0.25498,1.52602,1.56298,1.41533,0.0014357,0.0014357,0.0014357
59,1703.68,1.22895,1.51148,1.27875,0.45225,0.45345,0.43957,0.26764,1.46478,1.51353,1.39658,0.0014258,0.0014258,0.0014258
60,1732.89,1.23423,1.50887,1.29058,0.44791,0.45323,0.4381,0.25507,1.51376,1.54779,1.41169,0.0014159,0.0014159,0.0014159
61,1762.03,1.26123,1.50638,1.30345,0.46194,0.45828,0.43409,0.24849,1.55168,1.53228,1.45047,0.001406,0.001406,0.001406
62,1791.15,1.25529,1.51418,1.3037,0.41007,0.50011,0.42214,0.26574,1.41977,1.49519,1.36775,0.0013961,0.0013961,0.0013961
63,1820.65,1.24581,1.51759,1.30147,0.4178,0.48594,0.43432,0.27702,1.35439,1.48047,1.34662,0.0013862,0.0013862,0.0013862
64,1850.02,1.24276,1.52212,1.30362,0.44417,0.45898,0.43765,0.22944,1.68239,1.54458,1.52607,0.0013763,0.0013763,0.0013763
65,1879.48,1.24409,1.52085,1.31563,0.44318,0.4841,0.44857,0.28234,1.38971,1.47417,1.35158,0.0013664,0.0013664,0.0013664
66,1908.79,1.25083,1.52065,1.29265,0.45149,0.45345,0.44153,0.25365,1.55364,1.51232,1.42167,0.0013565,0.0013565,0.0013565
67,1937.75,1.2451,1.50275,1.30103,0.46091,0.46554,0.45529,0.25577,1.57684,1.53138,1.4525,0.0013466,0.0013466,0.0013466
68,1967.05,1.24716,1.50409,1.30194,0.46263,0.45345,0.44284,0.27671,1.39354,1.51369,1.35015,0.0013367,0.0013367,0.0013367
69,1996.21,1.22273,1.5055,1.29502,0.42906,0.46675,0.44977,0.2835,1.41172,1.46671,1.35348,0.0013268,0.0013268,0.0013268
70,2025.37,1.25717,1.51871,1.29753,0.41487,0.49456,0.42876,0.24642,1.61646,1.51941,1.45507,0.0013169,0.0013169,0.0013169
71,2054.65,1.23674,1.48507,1.29107,0.43226,0.48489,0.4469,0.28108,1.37674,1.46408,1.32816,0.001307,0.001307,0.001307
72,2083.93,1.24274,1.49325,1.29354,0.46342,0.471,0.43672,0.25358,1.51148,1.54033,1.41428,0.0012971,0.0012971,0.0012971
73,2112.99,1.23711,1.50302,1.2901,0.41573,0.49335,0.44466,0.26251,1.49573,1.52589,1.40405,0.0012872,0.0012872,0.0012872
74,2142.72,1.22065,1.51135,1.28987,0.4527,0.47109,0.45086,0.26692,1.47146,1.50497,1.38619,0.0012773,0.0012773,0.0012773
75,2172.33,1.21185,1.50442,1.27208,0.41391,0.50423,0.44815,0.28177,1.40135,1.46472,1.36499,0.0012674,0.0012674,0.0012674
76,2201.92,1.2387,1.48779,1.29648,0.43693,0.47158,0.43992,0.25152,1.53279,1.53379,1.42361,0.0012575,0.0012575,0.0012575
77,2231.37,1.23102,1.4913,1.30219,0.41229,0.50423,0.44272,0.26782,1.45631,1.47683,1.37538,0.0012476,0.0012476,0.0012476
78,2260.85,1.23331,1.50303,1.3062,0.45984,0.46675,0.45604,0.27893,1.45469,1.45838,1.39705,0.0012377,0.0012377,0.0012377
79,2290.38,1.22922,1.50563,1.2982,0.46243,0.44832,0.43805,0.26304,1.46406,1.54123,1.38159,0.0012278,0.0012278,0.0012278
80,2319.99,1.22888,1.48458,1.28609,0.45977,0.49577,0.46251,0.29269,1.38832,1.4272,1.34024,0.0012179,0.0012179,0.0012179
81,2349.34,1.22303,1.47444,1.28483,0.44335,0.45707,0.44877,0.27257,1.45299,1.50674,1.38817,0.001208,0.001208,0.001208
82,2378.57,1.23666,1.50307,1.28232,0.43111,0.4873,0.44337,0.28168,1.37445,1.46871,1.34629,0.0011981,0.0011981,0.0011981
83,2408.05,1.20994,1.49845,1.28088,0.42167,0.48609,0.43868,0.2711,1.45009,1.51987,1.38285,0.0011882,0.0011882,0.0011882
84,2437.44,1.20549,1.45071,1.27255,0.42525,0.49456,0.44836,0.25589,1.56589,1.49173,1.45331,0.0011783,0.0011783,0.0011783
85,2466.69,1.23137,1.4751,1.29173,0.4065,0.48972,0.44476,0.26397,1.48454,1.49917,1.40499,0.0011684,0.0011684,0.0011684
86,2496.12,1.21206,1.47456,1.27553,0.46106,0.42805,0.44522,0.27221,1.46929,1.5241,1.38495,0.0011585,0.0011585,0.0011585
87,2525.51,1.21402,1.46903,1.28271,0.45843,0.44377,0.45607,0.26605,1.50621,1.49703,1.40828,0.0011486,0.0011486,0.0011486
88,2554.87,1.20645,1.47626,1.27645,0.43727,0.4873,0.45137,0.27202,1.44677,1.51686,1.38527,0.0011387,0.0011387,0.0011387
89,2584.5,1.22755,1.46794,1.29126,0.46497,0.43894,0.45385,0.27103,1.48253,1.49726,1.39737,0.0011288,0.0011288,0.0011288
90,2613.74,1.23276,1.51343,1.29414,0.41545,0.49577,0.44486,0.27827,1.39104,1.46872,1.35639,0.0011189,0.0011189,0.0011189
91,2642.95,1.21064,1.46734,1.28571,0.43866,0.46554,0.43874,0.27648,1.39307,1.48744,1.35674,0.001109,0.001109,0.001109
92,2672.33,1.23536,1.46742,1.29279,0.42591,0.48609,0.44677,0.28067,1.37998,1.50329,1.34723,0.0010991,0.0010991,0.0010991
93,2701.89,1.20677,1.46577,1.28229,0.44207,0.46917,0.45311,0.25898,1.522,1.46644,1.43091,0.0010892,0.0010892,0.0010892
94,2731.37,1.21897,1.4698,1.296,0.43358,0.46554,0.45151,0.28607,1.37704,1.43985,1.35347,0.0010793,0.0010793,0.0010793
95,2760.84,1.20468,1.44577,1.27066,0.45634,0.44963,0.44781,0.27408,1.42128,1.47186,1.36137,0.0010694,0.0010694,0.0010694
96,2790.54,1.24089,1.47872,1.2855,0.43808,0.4873,0.44212,0.28209,1.35373,1.45548,1.32609,0.0010595,0.0010595,0.0010595
97,2819.84,1.22214,1.48646,1.28286,0.44067,0.46681,0.45083,0.28524,1.36094,1.45323,1.32069,0.0010496,0.0010496,0.0010496
98,2849.25,1.19366,1.43912,1.27544,0.43255,0.50181,0.45293,0.29084,1.3225,1.44646,1.3183,0.0010397,0.0010397,0.0010397
99,2878.66,1.1901,1.43692,1.26697,0.46792,0.47037,0.46711,0.28756,1.41828,1.42441,1.36487,0.0010298,0.0010298,0.0010298
100,2907.94,1.194,1.44993,1.27514,0.42696,0.4873,0.45909,0.28351,1.39069,1.44631,1.36211,0.0010199,0.0010199,0.0010199
101,2937.35,1.21255,1.43056,1.29324,0.46159,0.474,0.45794,0.27578,1.44497,1.47354,1.4015,0.00101,0.00101,0.00101
102,2966.64,1.19796,1.43278,1.28798,0.44542,0.47642,0.46544,0.2759,1.48989,1.45461,1.40629,0.0010001,0.0010001,0.0010001
103,2996.2,1.20751,1.46105,1.27784,0.46504,0.474,0.45273,0.29066,1.3368,1.44339,1.32611,0.0009902,0.0009902,0.0009902
104,3025.78,1.21389,1.45499,1.29145,0.45338,0.45828,0.45163,0.27877,1.42315,1.53207,1.37761,0.0009803,0.0009803,0.0009803
105,3055.51,1.20858,1.44898,1.28905,0.47346,0.43773,0.45172,0.27417,1.44237,1.45422,1.39547,0.0009704,0.0009704,0.0009704
