epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.869,1.48732,1.4354,1.65289,0.05869,0.13683,0.03217,0.01096,2.27428,3.08067,2.35852,0.00333115,0.00333115,0.00333115
2,421.941,1.1046,1.08698,1.36342,0.07049,0.16315,0.03793,0.01208,2.45062,3.35958,2.35711,0.00663149,0.00663149,0.00663149
3,623.25,1.12039,1.10627,1.36909,0.02107,0.39068,0.03105,0.0096,2.35098,3.25475,2.36554,0.00989884,0.00989884,0.00989884
4,828.204,1.09469,1.09258,1.35851,0.01846,0.34238,0.022,0.00632,2.25609,3.6866,2.39653,0.0098515,0.0098515,0.0098515
5,1032.78,1.03168,1.02729,1.3313,0.02146,0.38832,0.03887,0.01121,2.24383,2.97614,2.40789,0.009802,0.009802,0.009802
6,1236.16,0.97813,0.99054,1.31265,0.04781,0.3454,0.0533,0.01609,2.25988,2.86529,2.33764,0.0097525,0.0097525,0.0097525
7,1439.74,0.96378,0.97261,1.3048,0.03131,0.46498,0.07393,0.02492,2.18261,2.93227,2.27054,0.009703,0.009703,0.009703
8,1641.52,0.94546,0.96416,1.29807,0.05074,0.38236,0.07673,0.0251,2.16232,2.86372,2.32474,0.0096535,0.0096535,0.0096535
9,1845.61,0.92362,0.93506,1.28148,0.12302,0.26004,0.08637,0.02832,2.25253,2.84456,2.29011,0.009604,0.009604,0.009604
10,2048.66,0.89558,0.91361,1.26466,0.19519,0.12742,0.07898,0.02431,2.20456,2.82582,2.31238,0.0095545,0.0095545,0.0095545
11,2253.13,0.89092,0.91859,1.2712,0.20019,0.10209,0.07686,0.02488,2.17244,2.85557,2.3165,0.009505,0.009505,0.009505
12,2455.63,0.87885,0.90354,1.26418,0.08575,0.32347,0.08629,0.02814,2.16877,2.82988,2.25128,0.0094555,0.0094555,0.0094555
13,2658.29,0.88825,0.91836,1.26969,0.03946,0.46413,0.07762,0.02531,2.15157,2.88228,2.24833,0.009406,0.009406,0.009406
14,2859.16,0.88789,0.91893,1.27404,0.07257,0.35845,0.08572,0.02786,2.13242,2.83886,2.2626,0.0093565,0.0093565,0.0093565
15,3060.7,0.87287,0.8976,1.26185,0.10511,0.28415,0.0922,0.0307,2.1408,2.83631,2.28436,0.009307,0.009307,0.009307
16,3262.88,0.85845,0.88509,1.24815,0.1518,0.2142,0.09085,0.02905,2.146,2.82536,2.2707,0.0092575,0.0092575,0.0092575
17,3465.35,0.86035,0.8894,1.25542,0.15321,0.19094,0.08859,0.02791,2.13792,2.83508,2.25499,0.009208,0.009208,0.009208
18,3667.78,0.86885,0.89303,1.25527,0.16573,0.16873,0.0891,0.0279,2.13185,2.81657,2.23885,0.0091585,0.0091585,0.0091585
19,3871.83,0.85816,0.8784,1.25163,0.13242,0.20616,0.08452,0.02716,2.13544,2.83266,2.25588,0.009109,0.009109,0.009109
20,4076.36,0.86217,0.88871,1.25413,0.12423,0.21183,0.0828,0.02644,2.13701,2.83506,2.25655,0.0090595,0.0090595,0.0090595
21,4279.26,0.83638,0.86246,1.23777,0.15154,0.16722,0.08433,0.02678,2.1352,2.83331,2.2514,0.00901,0.00901,0.00901
22,4483.44,0.8463,0.87492,1.24486,0.16618,0.14292,0.08312,0.02604,2.13479,2.83144,2.24984,0.0089605,0.0089605,0.0089605
23,4686.59,0.8512,0.87677,1.25048,0.17371,0.12525,0.08129,0.0255,2.13525,2.82596,2.24977,0.008911,0.008911,0.008911
24,4889.45,0.84384,0.86639,1.23846,0.17348,0.12279,0.0813,0.02573,2.13722,2.82532,2.24638,0.0088615,0.0088615,0.0088615
25,5092.95,0.8539,0.87831,1.24723,0.17005,0.12799,0.08161,0.026,2.13671,2.82661,2.24715,0.008812,0.008812,0.008812
26,5296.94,0.85646,0.88774,1.25389,0.17001,0.1347,0.08224,0.02614,2.13722,2.82379,2.24979,0.0087625,0.0087625,0.0087625
27,5496.92,0.85057,0.87149,1.24627,0.17156,0.13621,0.08268,0.02616,2.13502,2.82193,2.24865,0.008713,0.008713,0.008713
28,5699.23,0.84441,0.86937,1.24344,0.17468,0.13054,0.08282,0.02618,2.13347,2.82031,2.24898,0.0086635,0.0086635,0.0086635
29,5902.18,0.84795,0.87749,1.24584,0.18525,0.12307,0.08416,0.0268,2.13309,2.81509,2.24976,0.008614,0.008614,0.008614
30,6104.99,0.83848,0.86906,1.24273,0.18094,0.12392,0.08502,0.0271,2.13212,2.81259,2.25175,0.0085645,0.0085645,0.0085645
31,6305.56,0.84491,0.87093,1.24641,0.18471,0.12459,0.08493,0.02699,2.13125,2.80976,2.2512,0.008515,0.008515,0.008515
32,6509.74,0.82912,0.85427,1.23487,0.18538,0.12572,0.0858,0.0272,2.13006,2.81129,2.25125,0.0084655,0.0084655,0.0084655
33,6711.31,0.83612,0.86893,1.24549,0.18865,0.12459,0.08627,0.02731,2.12911,2.81184,2.25097,0.008416,0.008416,0.008416
34,6917.65,0.84464,0.87163,1.24552,0.18687,0.12742,0.08605,0.02718,2.13106,2.81078,2.25407,0.0083665,0.0083665,0.0083665
35,7162.32,0.84203,0.86901,1.24395,0.19457,0.12638,0.0882,0.0277,2.13107,2.80914,2.25738,0.008317,0.008317,0.008317
36,7394.63,0.83303,0.86889,1.24056,0.20284,0.12132,0.08882,0.02797,2.13071,2.8067,2.25744,0.0082675,0.0082675,0.0082675
37,7622.68,0.81694,0.84012,1.22745,0.20291,0.12052,0.08895,0.02804,2.13226,2.80494,2.25981,0.008218,0.008218,0.008218
38,7848.68,0.82816,0.85563,1.23261,0.19236,0.12842,0.08855,0.02785,2.13394,2.80762,2.25925,0.0081685,0.0081685,0.0081685
39,8073.14,0.8287,0.86086,1.23851,0.19202,0.12723,0.0886,0.028,2.13398,2.8069,2.26012,0.008119,0.008119,0.008119
40,8296.97,0.81357,0.84208,1.22627,0.19315,0.12827,0.08972,0.02818,2.13499,2.8094,2.26238,0.0080695,0.0080695,0.0080695
