epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.006,1.16981,1.06352,1.4177,0.02039,0.37782,0.03246,0.01032,2.47063,3.12017,2.42472,0.00333188,0.00333188,0.00333188
2,618.287,0.83941,0.77062,1.17882,0.01596,0.29426,0.02275,0.0072,2.58396,3.62913,2.17817,0.00663222,0.00663222,0.00663222
3,910.379,0.83764,0.7799,1.18215,0.02067,0.38331,0.04219,0.01289,2.32891,3.13417,2.47075,0.00989956,0.00989956,0.00989956
4,1199.87,0.81462,0.75747,1.17414,0.02154,0.39663,0.03423,0.01101,2.33729,3.08732,2.45688,0.0098515,0.0098515,0.0098515
5,1485.91,0.73412,0.69523,1.13865,0.02462,0.33236,0.03384,0.01194,2.23332,3.03018,2.35372,0.009802,0.009802,0.009802
6,1832.72,0.70097,0.66294,1.12042,0.02329,0.41838,0.0463,0.01459,2.28396,3.02218,2.46495,0.0097525,0.0097525,0.0097525
7,2161.92,0.67426,0.64378,1.11132,0.04124,0.43785,0.0754,0.0249,2.19768,2.89986,2.30132,0.009703,0.009703,0.009703
8,2488.98,0.66119,0.63534,1.105,0.04683,0.35155,0.06217,0.02013,2.21672,2.92561,2.32814,0.0096535,0.0096535,0.0096535
9,2822.09,0.66193,0.63941,1.11057,0.03953,0.41157,0.0689,0.02253,2.18598,2.9138,2.29182,0.009604,0.009604,0.009604
10,3157.34,0.64448,0.62094,1.09951,0.14797,0.14946,0.07425,0.02306,2.19223,2.90281,2.27725,0.0095545,0.0095545,0.0095545
11,3492.55,0.65057,0.63006,1.10599,0.08446,0.26817,0.07375,0.02308,2.19327,2.88135,2.28159,0.009505,0.009505,0.009505
12,3829.71,0.63888,0.61686,1.09717,0.05752,0.342,0.07235,0.02279,2.18205,2.88775,2.28476,0.0094555,0.0094555,0.0094555
13,4168.3,0.63728,0.61749,1.09901,0.05106,0.35901,0.0694,0.02131,2.18555,2.88813,2.27786,0.009406,0.009406,0.009406
14,4505.95,0.6362,0.61859,1.09942,0.04648,0.3817,0.07106,0.02171,2.1858,2.88377,2.27449,0.0093565,0.0093565,0.0093565
15,4844.12,0.63249,0.61185,1.09456,0.05073,0.36875,0.07026,0.02137,2.18634,2.88172,2.27085,0.009307,0.009307,0.009307
16,5180.83,0.62252,0.60236,1.08737,0.05192,0.35646,0.06879,0.02081,2.18421,2.88999,2.27334,0.0092575,0.0092575,0.0092575
17,5516.27,0.63023,0.60997,1.09244,0.04857,0.361,0.06618,0.02007,2.18255,2.89529,2.27834,0.009208,0.009208,0.009208
18,5853.49,0.61436,0.59238,1.08307,0.04868,0.35816,0.06484,0.01952,2.18621,2.89633,2.27932,0.0091585,0.0091585,0.0091585
19,6196.6,0.63066,0.61397,1.09635,0.04562,0.37433,0.06434,0.0194,2.18733,2.9004,2.27909,0.009109,0.009109,0.009109
20,6532.98,0.62382,0.60733,1.09371,0.04407,0.37574,0.06334,0.01893,2.18571,2.90544,2.27673,0.0090595,0.0090595,0.0090595
21,6856.68,0.62397,0.60266,1.08847,0.04415,0.3713,0.06153,0.0185,2.18106,2.90668,2.27364,0.00901,0.00901,0.00901
22,7187.2,0.62338,0.60738,1.0927,0.0424,0.36421,0.05882,0.0179,2.18217,2.91182,2.27858,0.0089605,0.0089605,0.0089605
23,7523.03,0.62557,0.61081,1.0939,0.0418,0.35504,0.0568,0.01741,2.18435,2.91702,2.28318,0.008911,0.008911,0.008911
24,7859,0.61873,0.60256,1.0908,0.04059,0.36686,0.05815,0.01773,2.18227,2.91353,2.28428,0.0088615,0.0088615,0.0088615
25,8194.12,0.61054,0.59453,1.08651,0.04257,0.36185,0.05899,0.01797,2.18036,2.90865,2.2865,0.008812,0.008812,0.008812
26,8529.24,0.62213,0.60294,1.09372,0.04419,0.35485,0.05938,0.01833,2.17671,2.90479,2.28462,0.0087625,0.0087625,0.0087625
27,8864.48,0.62101,0.60447,1.09125,0.04423,0.34663,0.05803,0.01779,2.17756,2.90821,2.28698,0.008713,0.008713,0.008713
28,9200.04,0.61056,0.59043,1.0836,0.04836,0.32886,0.05867,0.01783,2.17716,2.90646,2.28826,0.0086635,0.0086635,0.0086635
29,9536.03,0.60627,0.58981,1.08049,0.04602,0.34171,0.05812,0.01766,2.1766,2.90282,2.29011,0.008614,0.008614,0.008614
30,9870.92,0.59826,0.58005,1.07432,0.05103,0.32782,0.06039,0.01821,2.17563,2.89643,2.28907,0.0085645,0.0085645,0.0085645
31,10207.4,0.61198,0.59479,1.08682,0.05211,0.32375,0.06103,0.01835,2.17814,2.8928,2.29284,0.008515,0.008515,0.008515
32,10544.1,0.61227,0.59882,1.08732,0.05565,0.31468,0.06105,0.01836,2.18065,2.88867,2.29805,0.0084655,0.0084655,0.0084655
